gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000200673,RN7SKP174,NA,105,11,42,10,60,77,53,42,8,58,72,114,53,106,81,220,28,65,44,54,65
ENSG00000200674,RN7SKP160,NA,2,4,5,0,8,11,2,2,0,6,4,15,13,15,7,30,2,12,8,5,1
ENSG00000200708,RN7SKP93,NA,0,0,10,1,2,0,1,1,0,3,2,21,0,27,17,28,1,19,2,13,1
ENSG00000200718,RN7SKP103,NA,38,8,12,4,29,16,17,22,3,34,12,29,26,29,21,75,17,16,23,18,20
ENSG00000200731,RNU1-124P,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0
ENSG00000200761,RN7SKP113,NA,0,1,3,0,0,0,1,1,0,0,0,5,0,3,2,4,0,3,0,2,0
ENSG00000200783,RN7SKP180,NA,3,6,1598,3,11,14,5,3,3,17,9,41,23,42,36,80,17,34,12,28,13
ENSG00000200785,SNORD8,319103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
ENSG00000200792,SNORA80,677846,50,44,320,110,60,319,456,129,82,139,495,82,368,75,255,459,500,285,339,48,831
ENSG00000200794,RN7SKP250,NA,2,1,407,0,1,1,0,1,1,6,5,23,4,33,24,44,12,17,5,15,7
ENSG00000200795,RNU4-1,26835,6176,1305,3115,2378,3045,6600,1713,2184,2012,7909,5052,4228,21228,5652,7295,6211,13351,14574,13132,9648,12366
ENSG00000200800,RNU1-130P,NA,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0
ENSG00000200816,SNORA38,677820,91,67,143,25,72,79,20,24,115,68,108,214,581,29,469,72,692,139,170,212,365
ENSG00000200830,RN7SKP134,NA,0,0,18,1,0,0,0,0,0,2,1,8,0,9,6,18,0,8,0,4,0
ENSG00000200834,Y_RNA,NA,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0
ENSG00000200840,RNU6-82P,100873781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000200851,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000200867,RN7SKP36,NA,1,1,47,1,4,0,2,3,79,14,5,28,424,33,24,65,3,20,105,13,0
ENSG00000200885,RNU1-146P,NA,3,1,0,3,0,2,0,0,2,4,0,2,24,2,9,10,4,4,4,3,1
ENSG00000200889,RNU4-13P,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0
ENSG00000200895,RN7SKP245,NA,3,1,3,2,5,3,2,1,3,4,0,1,20,5,3,5,11,0,1,2,0
ENSG00000200903,RNU1-42P,NA,4,3,0,1,2,2,1,3,0,4,0,1,21,4,0,1,2,5,10,3,2
ENSG00000200913,SNORD46,94161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000200953,Y_RNA,NA,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0
ENSG00000200959,SNORA74A,26821,906,84,695,314,458,280,350,258,200,744,566,1714,1631,1478,1069,1078,464,642,432,378,1008
ENSG00000200966,RN7SKP87,NA,0,0,29,0,0,0,0,0,1,2,0,3,0,3,2,8,0,2,1,6,0
ENSG00000200975,RNU1-7P,NA,1,0,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2
ENSG00000200983,SNORA3,619562,57,13,95,45,32,82,76,54,28,36,20,90,176,44,153,86,70,44,61,30,61
ENSG00000201010,RN7SKP224,NA,0,0,20,0,0,1,0,0,1,0,0,21,1,23,19,36,1,8,0,8,0
ENSG00000201012,Y_RNA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201027,RN7SKP107,NA,0,1,2,0,1,0,0,3,0,1,0,21,1,15,19,27,0,20,0,6,0
ENSG00000201033,RNU1-96P,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201047,Y_RNA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
